obj_coords,local_obj_coords,hov,shape,hand_orientation,naive_success,controller_a_success,difficulty
"[0.000608760288587494, 0.02297548489490659, 0.074586850953451]","[0.026720612648092286, 0.04442778953192898, -0.013399023976112506]","[-1.71694195, -0.17400241, -1.58502771]",HourM,normal,TRUE,TRUE,easy
"[0.02162677283474094, 0.02156945709199941, 0.074586850953451]","[0.009261607636669115, 0.04829415594707055, -0.022572888091671614]","[-1.77556015, -0.18420462, -1.64796285]",HourM,normal,TRUE,TRUE,easy
"[0.02892808713383223, 0.009245656535978537, 0.074586850953451]","[-0.005248771480895274, 0.06327005991792932, 0.005311779501358372]","[-1.59313774, -0.13772363, -1.58194829]",HourM,normal,TRUE,TRUE,easy
"[0.04242130286799171, 0.01583130324327134, 0.074586850953451]","[-0.05235894377077839, 0.050420737786407446, -0.01894872179157993]","[-1.70930334, 0.07140579, -1.67190516]",HourM,normal,TRUE,TRUE,easy
"[0.04238614832729976, 0.014266828432691947, 0.074586850953451]","[-0.020293031165334013, 0.058357150242534565, -0.024341955684763154]","[-1.76547016, -0.12386605, -1.63236586]",HourM,normal,TRUE,TRUE,easy
"[-0.006761066350325078, 0.02583395487560218, 0.074586850953451]","[0.00504701652743555, 0.044263831431948425, -0.00863004368699656]","[-1.68799858, 0.01435349, -1.62777246]",HourM,normal,TRUE,TRUE,easy
"[0.003506681393226928, 0.03089232551517857, 0.074586850953451]","[0.01678134330156353, 0.038060713846642905, -0.01123410732206142]","[-1.72902562, -0.11875905, -1.77634676]",HourM,normal,TRUE,TRUE,easy
"[-0.033387880205326896, -0.0020619031334508167, 0.074586850953451]","[0.05435063542661721, 0.0668103704252439, -0.011392395991677127]","[-1.6935394, -0.11452764, -1.6036776]",HourM,normal,TRUE,TRUE,easy
"[-0.0023916945539101467, 0.004499862421224889, 0.074586850953451]","[0.021489487202634053, 0.06420847099501276, 0.008945797717181623]","[-1.57679965, -0.11092406, -1.60833001]",HourM,normal,TRUE,TRUE,easy
"[0.022172818311365743, -0.009616209207284017, 0.074586850953451]","[0.024728774237056043, 0.07925335043468934, -0.010099305442833297]","[-1.70804805, -0.22583929, -1.86533244]",HourM,normal,TRUE,TRUE,easy
"[0.04286393742206555, 0.004185698756788835, 0.074586850953451]","[-0.04296493940485005, 0.06570958510568574, -0.010608466775534193]","[-1.66074825, 0.0050606, -1.66217004]",HourM,normal,TRUE,TRUE,easy
"[0.0475963860141894, 0.011315710349974736, 0.074586850953451]","[-0.04855477475793796, 0.057756770209342174, -0.017444301760808092]","[-1.66952696, 0.02050928, -1.77011233]",HourM,normal,TRUE,TRUE,easy
"[-0.028386729984901042, 0.006810178887634986, 0.074586850953451]","[0.02477782499527856, 0.06267386186665447, -0.021324062070076383]","[-1.76336248, 0.03675191, -1.69037905]",HourM,normal,TRUE,TRUE,easy
"[0.055413708997195534, -0.003113483129647661, 0.074586850953451]","[-0.03530782620491227, 0.0771486043820056, 0.020356383905051147]","[-1.50517324, -0.11140667, -1.59413855]",HourM,normal,TRUE,TRUE,easy
"[0.019643593069800205, 0.010124939316409835, 0.074586850953451]","[0.005555155665336084, 0.06115223857887757, -0.001963847336000211]","[-1.63889908, -0.14641359, -1.64948812]",HourM,normal,TRUE,TRUE,easy
"[-0.023166568897560434, 0.005681944086680414, 0.07462073306112763]","[0.03137865592592676, 0.06275953563405631, 0.013342385463504006]","[-1.58603732, -0.05927652, -1.7791555]",HourM,normal,TRUE,TRUE,easy
"[0.053551706545165174, 0.007863812687356406, 0.074586850953451]","[-0.03427846829758403, 0.0662100639635001, -0.01892222122333044]","[-1.71427847, -0.10112476, -1.6675768]",HourM,normal,TRUE,TRUE,easy
"[0.03314725778250225, 0.01768154539936436, 0.074586850953451]","[0.0009796349734266518, 0.055918099971987614, -0.0008025271855463897]","[-1.63245532, -0.20688158, -1.60195702]",HourM,normal,TRUE,TRUE,easy
"[0.014766405853611577, -0.0009848752302383246, 0.074586850953451]","[-0.0023262085261545225, 0.07178723850488564, 0.002441045890617782]","[-1.60654931, -0.07028875, -1.69559183]",HourM,normal,TRUE,TRUE,easy
"[-0.007094790584604986, 0.0221021748546167, 0.074586850953451]","[0.004592045413251074, 0.04761786218340011, -0.01421197062970796]","[-1.72088368, 0.0229862, -1.64863675]",HourM,normal,TRUE,TRUE,easy
"[0.0474280866409633, 0.003124885959046239, 0.074586850953451]","[-0.05119662594558021, 0.06567038513707259, -0.011723859323830044]","[-1.7095608, 0.01587783, -1.4989897]",HourM,normal,TRUE,TRUE,easy
"[-0.04689652439020433, 0.0021731316584350582, 0.074586850953451]","[0.04384678798387834, 0.06854465109214682, 0.010263726631715781]","[-1.56974732, 0.01599922, -1.59105535]",HourM,normal,TRUE,TRUE,easy
"[0.02820357831095869, 0.012123111104657323, 0.074586850953451]","[-0.00344714751445966, 0.059471397472537685, -0.018167347023746346]","[-1.73437376, -0.15050464, -1.53668072]",HourM,normal,TRUE,TRUE,easy
"[0.010809581668254142, -0.005111625971457895, 0.074586850953451]","[0.044398507269831404, 0.070241697574745, -0.003043413160478948]","[-1.66248549, -0.29676669, -1.67855197]",HourM,normal,TRUE,TRUE,easy
"[0.033848730573054965, -0.0072740161042354826, 0.074586850953451]","[-0.03450647088145935, 0.0772918243481824, -0.0057243252261035115]","[-1.62275251, 0.00600325, -1.71943111]",HourM,normal,TRUE,TRUE,easy
"[-0.030979573371023993, -0.005872555000233759, 0.074586850953451]","[0.04925189715595446, 0.07206725182588603, -0.004301783132048435]","[-1.63999181, -0.0994599, -1.55830848]",HourM,normal,TRUE,TRUE,easy
"[0.007863645896583962, 0.008164569985116672, 0.07463288686539812]","[0.042705187728573756, 0.05687251204322865, 0.0020808172687058514]","[-1.62096329, -0.29646413, -1.60534588]",HourM,normal,TRUE,TRUE,easy
"[0.023796985896577895, 0.016948712097609002, 0.074586850953451]","[-0.022743438539388233, 0.053293575048402576, -0.007373032357722361]","[-1.66630089, -0.00466663, -1.61314761]",HourM,normal,TRUE,TRUE,easy
"[0.03187510265143249, 0.01648162945772233, 0.074586850953451]","[-0.00826282271113054, 0.05619186852749254, -0.012274628322965905]","[-1.69717133, -0.13669174, -1.6593177]",HourM,normal,TRUE,TRUE,easy
"[-0.023590643574337412, 0.006235954883520682, 0.074586850953451]","[0.03670641687310955, 0.060956814766958994, -0.01616374074920077]","[-1.7087458, -0.07946518, -1.53380373]",HourM,normal,TRUE,TRUE,easy
"[0.018112560978220473, 0.01650324137067024, 0.074586850953451]","[-0.020498676543246552, 0.052823897848677595, -0.014554577536526052]","[-1.70390185, 0.02236422, -1.66359055]",HourM,normal,TRUE,TRUE,easy
"[-0.04266743340376953, 0.006424665512238796, 0.07477027059701594]","[0.04141149651793105, 0.06405113652189896, 0.005291353177143735]","[-1.6324721, 0.00540978, -1.73013284]",HourM,normal,TRUE,TRUE,easy
"[0.04574475395189143, 0.0005080453503730209, 0.074586850953451]","[-0.04320908854796146, 0.06857495164123507, -0.025264675768525813]","[-1.70521836, 0.01131377, -1.79656122]",HourM,normal,TRUE,TRUE,easy
"[0.028534232584344434, 0.018291751379733594, 0.074586850953451]","[-0.02813564116253089, 0.05194169774350103, 0.0056062964404429445]","[-1.59014831, -0.00303855, -1.58680423]",HourM,normal,TRUE,TRUE,easy
"[0.05517227164490355, 0.003929828071143997, 0.074586850953451]","[-0.023864533620790166, 0.07194687085660864, -0.021328465779507283]","[-1.76570923, -0.1974031, -1.39928323]",HourM,normal,TRUE,TRUE,easy
"[-0.04549071235150564, -0.0020254175970901567, 0.074586850953451]","[0.046781599921163305, 0.07114758961854627, -0.016854924392899664]","[-1.74189547, 0.00479089, -1.68194541]",HourM,normal,TRUE,TRUE,easy
"[-0.002179531161527977, 0.027909157817570203, 0.07467416609558372]","[0.010709082687404652, 0.041313954553316504, 0.014552920464446647]","[-1.54241861, -0.06420191, -1.65624642]",HourM,normal,TRUE,TRUE,easy
"[0.028118674379050503, 0.02409441282002632, 0.074586850953451]","[0.001168725370211926, 0.04843080885884001, -0.008939970836142548]","[-1.68725276, -0.17415152, -1.77597168]",HourM,normal,TRUE,TRUE,easy
"[0.004301550677679893, 0.02126252791650493, 0.074586850953451]","[0.0092398730577551, 0.04657627382774758, -0.026438264546424336]","[-1.79792012, -0.07947101, -1.61157526]",HourM,normal,TRUE,TRUE,easy
"[0.022937286182567164, -0.004160168666280217, 0.074586850953451]","[-0.007254434224754075, 0.07500837817293571, -0.01564475122695836]","[-1.7058308, -0.08553691, -1.56462194]",HourM,normal,TRUE,TRUE,easy
"[0.014442292738896034, 0.009986188475648076, 0.074586850953451]","[-0.02476601776550277, 0.05891239394632189, 0.007274729850386395]","[-1.57692116, 0.05928524, -1.60614214]",HourM,normal,TRUE,TRUE,easy
"[0.028833474268552324, -0.005508761993623108, 0.074586850953451]","[0.006530619840751439, 0.07744731794868433, -0.012252438270945111]","[-1.68678696, -0.18824052, -1.58499753]",HourM,normal,TRUE,TRUE,easy
"[0.05921587049298014, 0.0004868687987952397, 0.074586850953451]","[-0.036117378410361736, 0.07574366014495167, 0.0032725395433344934]","[-1.5789255, -0.1300201, -1.69515677]",HourM,normal,TRUE,TRUE,easy
"[0.04233518380442012, 0.00837371328050792, 0.074586850953451]","[-0.025339393750867866, 0.06497543118685666, -0.008588475803559257]","[-1.66065462, -0.09406892, -1.66174721]",HourM,normal,TRUE,TRUE,easy
"[0.034978622228762864, 0.0006824005970758676, 0.074586850953451]","[-0.003385089100955571, 0.07164718213378979, -0.02134352580347005]","[-1.73526683, -0.1527889, -1.76395508]",HourM,normal,TRUE,TRUE,easy
"[0.0426738717050533, 0.012754109336389041, 0.074586850953451]","[-0.027186004404027603, 0.0606936861884351, -0.001110027275797302]","[-1.61144968, -0.09201572, -1.69926335]",HourM,normal,TRUE,TRUE,easy
"[0.03413866968223676, 0.004253648082695523, 0.074586850953451]","[-0.0012594826284185387, 0.06904360856341632, -0.008855910255511511]","[-1.67310967, -0.18322515, -1.60282628]",HourM,normal,TRUE,TRUE,easy
"[-0.024215820317177464, 0.0002912083803316354, 0.07472480704086584]","[0.05124202354769815, 0.06406272762084961, -0.00671041290172674]","[-1.69044325, -0.14682255, -1.67874644]",HourM,normal,TRUE,TRUE,easy
"[-0.01850740642149338, 0.011684230587106798, 0.07483820022580367]","[0.03922862135236451, 0.054423891922017416, 0.013700400761162818]","[-1.55454468, -0.12745346, -1.60949965]",HourM,normal,TRUE,TRUE,easy
"[-0.03274627512133831, 0.012366057987846124, 0.07468903083763093]","[0.030866915395128418, 0.05822320886954597, 0.0028157901878677243]","[-1.63783453, 0.01079009, -1.72508807]",HourM,normal,TRUE,TRUE,easy
"[-0.008055529821403055, 0.013165633001187525, 0.074586850953451]","[0.017907963105418073, 0.05630974977703941, 0.0018351538225473553]","[-1.62599118, -0.05964809, -1.67463126]",HourM,normal,TRUE,TRUE,easy
"[-0.006068791965197502, 0.00544638343212283, 0.074586850953451]","[0.01029552911954299, 0.06425541233258379, -0.0109200218055226]","[-1.67824358, -0.03141829, -1.44874903]",HourM,normal,TRUE,TRUE,easy
"[0.027130734724710594, -0.005050043603861486, 0.074586850953451]","[-0.036296717372563764, 0.07304284576284067, -0.015551802402027855]","[-1.68668695, 0.05653028, -1.65957625]",HourM,normal,TRUE,TRUE,easy
"[0.035492969759083705, 0.0015067026814447881, 0.074586850953451]","[-0.022453239786780252, 0.07059021953218793, 0.009329038149981745]","[-1.55663771, -0.07900422, -1.67964758]",HourM,normal,TRUE,TRUE,easy
"[-0.0014416471437157657, 0.019088700502267728, 0.07462243221887341]","[0.03665200060736961, 0.04451718542691224, -0.027579850757213684]","[-1.79725535, -0.22581709, -1.55890829]",HourM,normal,TRUE,TRUE,easy
"[0.049324052754288646, 0.007597687149870941, 0.074586850953451]","[-0.05446200185908336, 0.06107497464555786, 0.0026573088163531966]","[-1.56480491, 0.02467109, -1.71058173]",HourM,normal,TRUE,TRUE,easy
"[-0.044750992679680295, 0.007572869889650308, 0.074586850953451]","[0.04224922888017019, 0.062858678629915, -0.012371121844842554]","[-1.71072472, 0.01939514, -1.63247289]",HourM,normal,TRUE,TRUE,easy
"[-0.02926288928811884, 0.007703668944014586, 0.07460115572848616]","[0.04757369205085606, 0.05834027352673257, 0.00502988918142744]","[-1.60748745, -0.10838183, -1.61600716]",HourM,normal,TRUE,TRUE,easy
"[-0.03176544189502133, 0.007489502396746291, 0.074586850953451]","[0.015373276852982544, 0.064804470745697, 0.007769985757221371]","[-1.59800555, 0.08705656, -1.77505331]",HourM,normal,TRUE,TRUE,easy
"[0.0196769214008273, 0.008635698268186394, 0.074586850953451]","[-0.0010133300428040865, 0.06196325397660972, -0.016276234769985243]","[-1.71636981, -0.09045999, -1.76652082]",HourM,normal,TRUE,TRUE,easy
"[0.012130670454065875, 0.0035340813790973938, 0.074586850953451]","[0.008407743160309752, 0.0664102495068146, -0.013435235566180984]","[-1.70710339, -0.09974886, -1.77799353]",HourM,normal,TRUE,TRUE,easy
"[0.02826430314568138, -0.0029469097050592724, 0.074586850953451]","[-0.009379388158377584, 0.07450911557841164, -0.014874615276699275]","[-1.68478329, -0.08228017, -1.85247762]",HourM,normal,TRUE,TRUE,easy
"[-0.021150640588723228, 0.022043518920586647, 0.074586850953451]","[0.01949734924846966, 0.04835070289463016, -0.005187100134478045]","[-1.66941889, 0.0127708, -1.63412523]",HourM,normal,TRUE,TRUE,easy
"[0.029845947565748605, 0.014461404697853147, 0.074586850953451]","[-0.02409083112004748, 0.054751481812583755, -0.02558879535362153]","[-1.75955295, -0.01500537, -1.70857424]",HourM,normal,TRUE,TRUE,easy
"[0.008379733668206473, -0.005665732166037392, 0.074586850953451]","[0.007441141804340515, 0.07574363160796652, 0.00838540358441041]","[-1.58230702, -0.09197882, -1.73581266]",HourM,normal,TRUE,TRUE,easy
"[0.02876879478180281, 0.020684853427508497, 0.074586850953451]","[-0.0011415963477612139, 0.05214801173583204, -0.0002770540526729839]","[-1.62997398, -0.17128626, -1.59301372]",HourM,normal,TRUE,TRUE,easy
"[-0.028309798683699643, 0.004228388595560982, 0.074586850953451]","[0.024620641459563, 0.06646002298580816, 0.006098082455439532]","[-1.59208349, 0.02006916, -1.59730432]",HourM,normal,TRUE,TRUE,easy
"[0.04732621593018883, 0.009384483805402292, 0.074586850953451]","[-0.02037176312590112, 0.06605777672964858, 0.004740657255719255]","[-1.59134861, -0.15650618, -1.6171046]",HourM,normal,TRUE,TRUE,easy
