obj_coords,local_obj_coords,hov,shape,hand_orientation,naive_success,controller_a_success,difficulty
"[-0.029917712164754914, 0.017025801050820823, 0.05499999997915403]","[0.055482045149843326, 0.04502126385152414, -0.021306558722614534]","[-1.64489808, -0.15824585, -1.59125452]",Vase1M,normal,True,True,easy
"[-0.003217470379920537, -0.004302715391957295, 0.05155509829335716]","[0.038165718497902075, 0.06960336545468748, -0.02134322769990377]","[-1.63015221, -0.18050914, -1.66263783]",Vase1M,normal,True,True,easy
"[0.03212355305217878, 0.0038146143007492944, 0.05499999997915403]","[0.006047351655898467, 0.06706345602731927, -0.028166200892824598]","[-1.67553901, -0.19148338, -1.72659241]",Vase1M,normal,True,True,easy
"[0.007234286779622167, 0.03537030799231999, 0.05155509829335716]","[0.0028077089153817174, 0.03501340731196695, -0.011180003986262343]","[-1.55224154, -0.06982214, -1.56345792]",Vase1M,normal,True,True,easy
"[-0.022424934023188865, 0.006082567455811983, 0.05155509829335716]","[0.04384943655954775, 0.059253573876650145, -0.019294739059253697]","[-1.61528439, -0.11875182, -1.62321936]",Vase1M,normal,True,True,easy
"[-0.04324276875732653, 0.010263677047449439, 0.05155509829335716]","[0.04723065566655481, 0.05923669264173251, -0.0004946832459856816]","[-1.52869515, -0.02070897, -1.70240938]",Vase1M,normal,True,True,easy
"[0.011287871393080988, -0.004817814019134136, 0.05155509829335716]","[0.029986771607527177, 0.07056072556373774, -0.031230428032916462]","[-1.6864492, -0.20157587, -1.70962063]",Vase1M,normal,True,True,easy
"[-0.005159480148883148, 0.013843972577402913, 0.05155509829335716]","[0.0013461640118465077, 0.05277415715681705, -0.036453924231462174]","[-1.70614511, 0.00116750364, -1.47105407]",Vase1M,normal,True,True,easy
"[0.04266968676665189, 0.010371024389897315, 0.05155509829335716]","[-0.01848807187590528, 0.0567993742066623, -0.05121067077417356]","[-1.77342509, -0.09936588, -1.72747151]",Vase1M,normal,True,True,easy
"[-0.014386318867366342, 0.004754943333189578, 0.05155509829335716]","[0.018069219199894685, 0.06465028043728943, -0.016740974304264702]","[-1.58202912, -0.02573726, -1.52055857]",Vase1M,normal,True,True,easy
"[-0.001607226637902246, 0.01149145059489872, 0.05155509829335716]","[0.047548116597507496, 0.05099763869687063, -0.020207242399827487]","[-1.61127133, -0.27649897, -1.58017077]",Vase1M,normal,True,True,easy
