obj_coords,local_obj_coords,hov,shape,hand_orientation,naive_success,controller_a_success,difficulty
"[-0.0003936735385180491, 0.009307180497493524, 0.03496019214827505]","[0.01156951624387912, 0.05518841959705377, -0.051397546979699664]","[-1.70091307, -0.03449762, -1.6762586]",Cone2M,normal,TRUE,TRUE,easy
"[0.03734109764530826, -0.009166841632253744, 0.03496019214827505]","[-0.020365765043461492, 0.0759136583008663, -0.05591404760801888]","[-1.69805214, -0.06909944, -1.64700023]",Cone2M,normal,TRUE,TRUE,easy
"[0.026162355279347873, -0.003042747058582644, 0.03496019214827505]","[0.03357170156755325, 0.06877904534999423, -0.04501879367740623]","[-1.67703057, -0.29076601, -1.72637498]",Cone2M,normal,TRUE,TRUE,easy
"[0.03377349125229932, -0.008037429158659442, 0.03496019214827505]","[-0.026160292222271314, 0.07723326759001338, -0.0410444636513715]","[-1.61090412, -0.01767, -1.67979567]",Cone2M,normal,TRUE,TRUE,easy
"[0.050504628541037835, 0.011202410678866542, 0.03496019214827505]","[-0.029160859566356143, 0.059868510112983477, -0.047584231716931796]","[-1.64893435, -0.09267998, -1.69735278]",Cone2M,normal,TRUE,TRUE,easy
"[0.010507801856147954, -0.007186977556827056, 0.03496019214827505]","[0.0037316176627269094, 0.07499872370314904, -0.04286615945688644]","[-1.63725236, -0.03305792, -1.75996581]",Cone2M,normal,TRUE,TRUE,easy
"[0.026201634926468997, 0.007775863631784671, 0.03496019214827505]","[-0.009831243795072796, 0.06569993736973614, -0.017525392331133788]","[-1.49670787, -0.09440608, -1.562314]",Cone2M,normal,TRUE,TRUE,easy
"[0.04931467811441491, 0.00588827240886854, 0.03496019214827505]","[-0.036684244256801515, 0.0633009671554345, -0.047900460025400396]","[-1.64751904, -0.04474826, -1.67811611]",Cone2M,normal,TRUE,TRUE,easy
"[0.050878049892585556, -0.0036273540718283247, 0.03496019214827505]","[-0.022361253437402116, 0.06962860512449447, -0.06684086767898564]","[-1.74600202, -0.09747756, -1.74415065]",Cone2M,normal,TRUE,TRUE,easy
"[0.0375023565822865, 0.015951481155759555, 0.03496019214827505]","[0.005059303125605534, 0.05399690954122352, -0.04821143328169165]","[-1.68127743, -0.25266511, -1.60083452]",Cone2M,normal,TRUE,TRUE,easy
"[0.038773241653127274, 0.00017886266158439673, 0.03496019214827505]","[0.003202612703213238, 0.06742848013057862, -0.057222943951260846]","[-1.7225316, -0.20795527, -1.6649012]",Cone2M,normal,TRUE,TRUE,easy
"[-0.014229364002809832, 0.017474346236239745, 0.03496019214827505]","[0.02165492416646138, 0.0478315031505633, -0.0465180148532867]","[-1.68757102, -0.00282013, -1.71644004]",Cone2M,normal,TRUE,TRUE,easy
"[0.02632140614028935, 0.009210131623767843, 0.03496019214827505]","[0.008110774286285174, 0.059921090937013546, -0.043007158223658595]","[-1.64939347, -0.16094212, -1.73617466]",Cone2M,normal,TRUE,TRUE,easy
"[0.04392597833414118, -0.002324856907346527, 0.03496019214827505]","[-0.038742049454520866, 0.07271179990711256, -0.034840762042648944]","[-1.59127254, -0.02518153, -1.58806725]",Cone2M,normal,TRUE,TRUE,easy
"[-0.030862074192760453, 0.015095376823955977, 0.03496019214827505]","[0.04196082583621343, 0.0399857293845036, -0.06939851833075307]","[-1.82027165, -0.06431415, -1.5904975]",Cone2M,normal,TRUE,TRUE,easy
"[-0.01298219539904215, 0.006958590311058856, 0.03496019214827505]","[0.014468249057011344, 0.06416645099840523, -0.022252323078933014]","[-1.52919002, 0.000670987471, -1.64127411]",Cone2M,normal,TRUE,TRUE,easy
"[-0.03174725536427942, 0.00696448472436479, 0.03496019214827505]","[0.04673915951220008, 0.05828983846140966, -0.03701001095170135]","[-1.60420357, -0.09176188, -1.55363275]",Cone2M,normal,TRUE,TRUE,easy
"[0.002730905138135132, 0.000983280795847986, 0.03496019214827505]","[0.03643787828142758, 0.06274761895429529, -0.04256250311613598]","[-1.65617046, -0.20186222, -1.65859901]",Cone2M,normal,TRUE,TRUE,easy
"[0.0004394187845010976, -0.0007142684594963304, 0.03496019214827505]","[0.03756948514367159, 0.06548491004848035, -0.03712144861242907]","[-1.64753178, -0.1657191, -1.78308133]",Cone2M,normal,TRUE,TRUE,easy
"[-0.008532118667006929, 0.009312694775878805, 0.03496019214827505]","[0.01219055592409546, 0.05343256652929622, -0.05722518378807351]","[-1.72405338, -0.04854354, -1.49512196]",Cone2M,normal,TRUE,TRUE,easy
"[0.03597424477890217, -0.009694279100748887, 0.03496019214827505]","[0.008862546420128736, 0.07852083190309289, -0.050852717946359226]","[-1.68142733, -0.15694756, -1.87133092]",Cone2M,normal,TRUE,TRUE,easy
