obj_coords,local_obj_coords,hov,shape,hand_orientation,naive_success,position-dependent_success,policy_success,difficulty
"[-0.06505248477387204, 0.0022119498749364063, 0.054980000121842634]","[0.051003611851890264, 0.07232796302522054, -0.010204823228420784]",[-1.62289931  0.09398639 -1.76103079],CylinderM,normal,FALSE,FALSE,TRUE,med
"[0.021669116816627847, 0.020820985658153997, 0.054980000121842634]","[-0.013227105856456289, 0.0503077026521929, -0.00652455124535585]",[-1.54146796 -0.05057298 -1.62873089],CylinderM,normal,TRUE,TRUE,TRUE,easy
"[0.020772789841031047, 0.010890251085416101, 0.054980000121842634]","[0.025179530237264075, 0.056620392024710905, -0.02723653046473451]",[-1.67941986 -0.26392564 -1.63055804],CylinderM,normal,TRUE,TRUE,TRUE,easy
"[-0.01352425175168949, 0.014538084123504083, 0.054980000121842634]","[0.04009571265432703, 0.04764156043195198, -0.034793672409582525]",[-1.74310965 -0.14328409 -1.67116309],CylinderM,normal,TRUE,TRUE,FALSE,med
"[-0.02187603087199338, -0.0006631803982881324, 0.05479474721528824]","[0.056030215702518565, 0.06007448707059141, -0.03413942941774097]",[-1.72831331 -0.17841897 -1.6565699 ],CylinderM,normal,FALSE,FALSE,FALSE,hard
"[0.014408827091646249, 0.0029371865487709085, 0.054980000121842634]","[0.006157450455107535, 0.06731649905804112, -0.013724997944447974]",[-1.5897918  -0.11529902 -1.58003688],CylinderM,normal,TRUE,TRUE,TRUE,easy
"[-0.04271596076579183, -0.008278380910945533, 0.054980000121842634]","[0.0600585299950359, 0.07234983708735594, -0.022879866894339664]",[-1.66286219 -0.08282307 -1.65216063],CylinderM,normal,FALSE,FALSE,FALSE,hard
"[0.01366942592303871, 0.006203209215342253, 0.054980000121842634]","[0.025211217097819254, 0.06084246923304075, -0.02603842023580706]",[-1.68823967 -0.19176337 -1.78031287],CylinderM,normal,TRUE,TRUE,TRUE,easy
"[0.052556094005127264, -0.009392241946277875, 0.054980000121842634]","[-0.028891221912443574, 0.08180766624374532, -0.0333954666161137]",[-1.66419553 -0.09713481 -1.74045099],CylinderM,normal,FALSE,FALSE,FALSE,hard
"[-0.004569434035681941, 0.028678463684875338, 0.054980000121842634]","[0.011981457684038677, 0.039682112457879004, -0.021894596583387764]",[-1.65449397 -0.03364916 -1.67623741],CylinderM,normal,TRUE,TRUE,FALSE,med
"[0.0344193259890534, 0.018236800129101064, 0.054980000121842634]","[-0.012764028701211485, 0.05209017727218569, -0.03200708100811427]",[-1.69465505 -0.11226149 -1.68617942],CylinderM,normal,TRUE,TRUE,FALSE,med
"[-0.019573197817992598, 0.012589471098877512, 0.054980000121842634]","[0.01235084619488025, 0.058281366572112706, -0.006841777556254404]",[-1.55639352  0.04730418 -1.66797265],CylinderM,normal,TRUE,TRUE,TRUE,easy
